titles,released,developers,publishers,genres
Final Doom,1996,"id Software, TeamTNT, Casali brothers",GT Interactive,Shooter
Final Fantasy VII,1997,Square Co.,Eidos Interactive,"Role-playing (RPG), Adventure"
Final Fantasy VIII,1999,Square Co.,"Square Co., Square Electronic Arts, Eidos Interactive","Role-playing (RPG), Adventure"
Final Fantasy XI,2002,Square Co.,"Square Co., Square Enix","Role-playing (RPG), Adventure"
Final Fantasy XIII,2014,Square Enix,Square Enix,"Role-playing (RPG), Adventure"
Final Fantasy XIV,2010,Square Enix,Square Enix,"Role-playing (RPG), Adventure"
Final Fantasy XV: Windows Edition,2018,Square Enix,Square Enix,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Final Liberation,1997,Holistic Design,"Strategic Simulations, Inc.",Turn-based strategy (TBS)
The Final Scene,2001,Her Interactive,DreamCatcher,Adventure
Finding Nemo,2003,Travellers Tales,"THQ, Disney Interactive, Yukes",Adventure
Finding Teddy II,2015,Storybird,LookAtMyGame,"Platform, Role-playing (RPG), Adventure"
Firearms,1998,FireArms Development Team,,Simulator
Firepower,2004,Shockwave Productions,"GMX media, TRI SYNERGY",Simulator
Fire Fight,1996,"Chaos Works, Epic MegaGames",Electronic Arts,"Simulator, Sport"
Firo and Klawd,1996,Interactive Studios,BMG,"Shooter, Adventure"
First Battalion,2006,ZootFly,DreamCatcher Games,Simulator
First Queen,1994,Kure Software Koubou,Culture Brain,Real Time Strategy (RTS)
First Strike: Final Hour,2017,Blindflug Studios,Blindflug Studios,"Strategy, Indie"
Fish Tycoon,2004,Last Day of Work,Big Fish Games,Simulator
FlatOut,2004,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
FlatOut 2,2006,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
FlatOut: Ultimate Carnage,2007,Bugbear Entertainment,Empire Interactive,"Racing, Arcade"
Flatspace,2003,Cornutopia Software,,"Role-playing (RPG), Simulator, Adventure, Indie"
Fleet Command,1999,Sonalysts Combat Simulations,"Electronic Arts, Strategy First","Strategy, Tactical"
Fleet Defender Gold,1995,Microprose,Microprose,Simulator
Flesh Feast,1998,Ingames,SegaSoft,"Puzzle, ""Hack and slash/Beat em up"""
Flight Unlimited,1996,Looking Glass Studios,Virgin Interactive,"Racing, Simulator"
Flight Unlimited II,1997,Looking Glass Studios,Eidos Interactive,Simulator
Flight Unlimited III,1999,Looking Glass Studios,Electronic Arts,Simulator
Flying Tigers: Shadows Over China,2017,Ace Maddox,Ace Maddox,"Simulator, Adventure, Indie"
Flock!,2009,Proper Games,Capcom,"Adventure, Indie"
Flying Corps,1996,Rowan Software,Empire Interactive,"Strategy, Indie"
The Fool and His Money,2009,Cliff Johnson,Cliff Johnson,Puzzle
Football Manager,2005,Sports Interactive,SEGA,"Simulator, Sport, Strategy"
Football Manager 2005,2005,Sports Interactive,SEGA,"Simulator, Sport, Strategy"
Football Manager 2006,2005,Sports Interactive,SEGA,"Sport, Strategy"
Football Manager 2007,2006,Sports Interactive,Sega,"Simulator, Sport, Strategy"
Football Manager 2008,2007,Sports Interactive,Sega,"Simulator, Sport, Strategy"
Football Manager 2009,2008,Sports Interactive,Sega,Sport
Football Manager 2010,2009,Sports Interactive,Sega,Sport
Football Manager Live,2008,Sports Interactive,SEGA,Sport
Forbes Corporate Warrior,1997,Brooklyn Multimedia,Byron Preiss Multimedia,"Shooter, Simulator"
Ford Racing,2001,Razorworks,Empire Interactive,Racing
Ford Street Racing,2006,Razorworks,Empire Interactive,Racing
The Forgotten Realms Archives,1997,"Strategic Simulations, Inc.",Interplay Entertainment,Role-playing (RPG)
Forgotten Realms: Demon Stone,2004,Stormfront Studios,Atari,Role-playing (RPG)
Formula 1,1996,Bizarre Creations,Psygnosis,Racing
Formula 1 97,1997,Bizarre Creations,Psygnosis,"Racing, Sport"
Formula One 99,1999,Studio 33,Psygnosis,"Racing, Simulator"
Forsaken,1999,Probe Entertainment,Acclaim,"Simulator, Strategy, Adventure, Indie"
Fortress Forever,2007,Fortress Forever Development Team,,"Shooter, Indie"
Forza Motorsport 7,2017,Turn 10 Studios,Microsoft Studios,Racing
Fractal: Make Blooms Not War,2010,Cipher Prime,,"Puzzle, Indie"
Fragile Allegiance,1997,"Gremlin Interactive, Cajji Software",Gremlin Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
Frank Herberts Dune,2001,Cryo Interactive,Widescreen Games,"Shooter, Simulator"
Frankenstein: Through the Eyes of the Monster,1996,Amazing Media,Interplay Entertainment,Adventure
Freddi Fish and Luthers Maze Madness,1996,Humongous Entertainment,Humongous Entertainment,"Adventure, Arcade"
Freddi Fish and Luthers Water Worries,1996,Humongous Entertainment,Humongous Entertainment,Adventure
Freddi Fish and the Case of the Missing Kelp Seeds,1994,Humongous Entertainment,Humongous Entertainment,"Platform, Puzzle, Adventure"
Freddi Fish 2: The Case of the Haunted Schoolhouse,1996,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
Freddi Fish 3: The Case of the Stolen Conch Shell,1998,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,1999,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
Freddi Fish 5: The Case of the Creature of Coral Cove,2001,Humongous Entertainment,Humongous Entertainment,"Point-and-click, Adventure"
Freddy Pharkas: Frontier Pharmacist,1993,"Al Lowe, Josh Mandel",Sierra On-Line,"Point-and-click, Adventure"
Free Realms,2009,SOE San Diego,Sony Online Entertainment,"Puzzle, Racing, Role-playing (RPG), Turn-based strategy (TBS)"
Freeciv,1999,The Freeciv developers,The Freeciv project,"Simulator, Strategy"
FreeCol,2003,The Freecol Team,SourceForge.net,Turn-based strategy (TBS)
Freedom Fighters,2003,IO Interactive,Electronic Arts,"Shooter, Arcade"
Freedom Force,2002,Irrational Games,Electronic Arts,"Role-playing (RPG), Strategy, Tactical"
Freedom Force vs the 3rd Reich,2005,Irrational Games,Digital Jesters,"Role-playing (RPG), Strategy, Tactical"
Freelancer,2003,Digital Anvil,Microsoft Game Studios,"Racing, Simulator, Indie"
FreeSpace 2,1999,Volition,Interplay Entertainment,Simulator
Freestyle Street Soccer,2004,Silicon Dreams Studio,Acclaim,Sport
Frets on Fire,2006,Unreal Voodoo,,"Music, Simulator, Arcade"
Fritz (chess),1995,Frans Morsch,Chessbase,"Strategy, Adventure"
Frogger 3D,1997,SCE Studio Cambridge,Hasbro Interactive,"Puzzle, Adventure, Arcade"
Frogger Beyond,2002,Konami,Konami,Platform
Froggers Adventures: The Rescue,2003,Konami HWI,Konami,Adventure
Frogger: Ancient Shadow,2005,Hudson Soft,Konami,Platform
Frogger: The Great Quest,2001,Konami,Konami,"Platform, Adventure"
From Dusk Till Dawn,2001,Gamesquad,Cryo Interactive,Shooter
Front Page Sports: Football Pro 98,1997,Synergistic Software,Sierra On-Line,"Simulator, Sport"
Front Page Sports: Golf,1997,Headgate Studios,Sierra On-Line,Sport
Front Page Sports: Trophy Bass 2,1996,Dynamix,Sierra On-Line,Sport
Front Page Sports: Trophy Bass 2 - Northern Lakes,1997,Dynamix,Sierra On-Line,Sport
Front Page Sports: Trophy Rivers,1997,Dynamix,Sierra On-Line,Sport
Frontlines: Fuel of War,2008,Kaos Studios,THQ,Shooter
Frozen Bubble,2002,Guillaume Cottenceau,Guillaume Cottenceau,Puzzle
Frozen Synapse,2011,Mode 7 Games,Mode 7 Games,"Strategy, Indie"
FTL: Faster Than Light,2012,Subset Games,,"Simulator, Strategy, Indie"
Fuck Quest,2004,Richard Eter,,Adventure
Fuck Quest 2: Romancing the Bone,2004,Richard EterHeywood Jablowmey,,Adventure
Fuel,2006,Firetoad Software,DreamCatcher,Racing
Fuel,2009,Asobo Studio,Codemasters,Racing
Full Pipe,2003,Pipe Studio,1C Company,"Point-and-click, Puzzle, Adventure"
Full Spectrum Warrior,2004,Pandemic Studios,THQ,"Real Time Strategy (RTS), Simulator, Strategy"
Full Spectrum Warrior: Ten Hammers,2006,Pandemic Studios,THQ,"Real Time Strategy (RTS), Simulator, Strategy"
Full Throttle Remastered,2017,Double Fine Productions,Double Fine Productions,"Point-and-click, Adventure"
Full Tilt! Pinball,1996,Cinematronics,Microsoft,Pinball
Fur Fighters,2000,Bizarre Creations,Acclaim,"Shooter, Platform, Puzzle"
Furcadia,1996,Dragons Eye Productions,Dragons Eye Productions,"Role-playing (RPG), Simulator, Adventure"
Fury,2007,Auran,Gamecock Media Group,Arcade
Fury3,1995,Terminal Reality,Microsoft,"Shooter, Simulator"
Fuser,2020,Harmonix,NCSoft,Music
Future Cop: LAPD,1998,Electronic Arts,Electronic Arts,Shooter
Future Tactics: The Uprising,2004,Zed Two,NA: Crave EntertainmentEU: JoWooD Productions,"Shooter, Strategy"
FX Fighter Turbo,1996,Argonaut Software Ltd.,GTE Entertainment,Pinball
G-Darius,2001,Taito,"CyberFront Corporation, MediaKite, Sourcenext","Shooter, Adventure, Arcade"
G-Force,2009,Eurocom,Disney Interactive Studios,"Platform, Adventure"
G-Nome,1997,7th Level,7th Level,Fighting
G-Police,1997,Psygnosis,Psygnosis,"Shooter, Simulator"
G.I. Joe: The Rise of Cobra,2009,Double Helix Games,Electronic Arts,Shooter
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999,Sierra On-Line,Sierra On-Line,Adventure
Gabriel Knight: Sins of the Fathers,1993,Sierra On-Line,Sierra On-Line,"Point-and-click, Adventure"
Gadget Trial,2006,KOGADO Studio,KOGADO Studio,"Turn-based strategy (TBS), Visual Novel"
"Gadget: Invention, Travel, & Adventure",1993,"Synergy, Inc.",Synergy Interactive,"Adventure, Visual Novel"
Gal*Gun: Double Peace,2016,Inti Creates,"Alchemist, PQube","Shooter, Role-playing (RPG), Adventure"
Gal*Gun Returns,2021,Inti Creates,"Inti Creates, PQube","Shooter, Adventure, Arcade"
Galactic Civilizations,2003,Stardock,Strategy First,Turn-based strategy (TBS)
Galactic Civilizations II: Dark Avatar,2007,Stardock,Stardock,"Strategy, Turn-based strategy (TBS)"
Galactic Civilizations II: Dread Lords,2006,Stardock,Stardock,Turn-based strategy (TBS)
Galactic Civilizations II: Endless Universe,2008,Stardock,Kalypso Media,"Strategy, Turn-based strategy (TBS), Indie"
Galactic Civilizations II: Twilight of the Arnor,2008,Stardock,Stardock,"Strategy, Turn-based strategy (TBS)"
Galaga: Destination Earth,2000,King of the Jungle Ltd.,Hasbro Interactive,Shooter
Galidor: Defenders of the Outer Dimension,2003,Asylum Entertainment,"Lego Interactive, Electronic Arts",Racing
Game Tycoon,2006,Tri Synergy,Tri Synergy,"Simulator, Strategy, Indie"
Gang Beasts,2014,Boneloaf,Boneloaf,"Fighting, Simulator, ""Hack and slash/Beat em up"", Adventure, Indie, Arcade"
Gang Garrison 2,2008,Faucet Software,Faucet Software,Shooter
Garage: Bad Dream Adventure,1999,Kinotrope,Toshiba-EMI,Adventure
Garden Rescue,2015,Rainbow Games,Rainbow Games,"Music, Strategy"
Garden Rescue: Christmas Edition,2015,Rainbow Games,Rainbow Games,"Music, Strategy"
Garfield: A Tail of Two Kitties,2006,Two Tribes B.V.,The Game Factory,Platform
Garfield: Caught in the Act,1996,"Point of View, Inc.",Sega,Platform
Garrys Mod,2005,Facepunch Studios,Valve,"Simulator, Indie"
Gary Grigsbys World At War,2005,2 by 3 Games,Black Bean Games,Strategy
Gate 88,2005,Queasy Games,,"Real Time Strategy (RTS), Strategy"
Gateway,1992,Legend Entertainment,Legend Entertainment,"Role-playing (RPG), Turn-based strategy (TBS)"
Gearhead Garage,1999,Mekada,Activision,"Racing, Simulator"
Gears 5,2019,The Coalition,Xbox Game Studios,"Shooter, Tactical, Adventure"
Gears of War,2006,Epic Games,Microsoft Game Studios,Shooter
Gears of War: Ultimate Edition,2016,The Coalition,Microsoft Studios,Shooter
Gears of War 4,2016,The Coalition,Microsoft Studios,Shooter
Gears Tactics,2019,Splash Damage,Xbox Game Studios,"Strategy, Tactical"
Gemsweeper,2007,Lobstersoft,Lobstersoft,Puzzle
Geneforge,2001,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Geneforge 2,2003,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Geneforge 3,2005,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Geneforge 4: Rebellion,2006,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
Geneforge 5: Overthrow,2008,Spiderweb Software,Spiderweb Software,"Role-playing (RPG), Strategy, Indie"
General,1999,NewGame Software,,Strategy
GeneRally,2002,Hannu and Jukka Räbinä,Hannu and Jukka Räbinä,Strategy
Genesis Rising: The Universal Crusade,2007,Metamorf Studios,DreamCatcher Interactive,Strategy
Genesys,2000,"Cybele Productions, Wanadoo Edition","Cybele Productions, Wanadoo Edition","Role-playing (RPG), Adventure"
Genewars,1996,Bullfrog Productions,Electronic Arts,"Real Time Strategy (RTS), Strategy"
Geometry Wars,2003,Bizarre Creations,Microsoft Game Studios,"Shooter, Arcade"
Get Medieval,1998,Monolith Productions,Monolith Productions,"Simulator, Adventure, Indie"
Gex,1994,Crystal Dynamics,BMG Interactive,Platform
Gex 3: Deep Cover Gecko,1999,Crystal Dynamics,Crave Entertainment,Platform
Gex: Enter the Gecko,1998,Crystal Dynamics,Eidos Interactive,"Platform, Adventure"
Ghost Blade HD,2017,Hucast,Hucast,Shooter
Ghost Master,2003,Sick Puppies,"Empire Interactive, Feral Interactive","Platform, Puzzle, Strategy"
Ghost of a Tale,2015,SeithCG,SeithCG,Visual Novel
Ghostbusters: The Video Game,2009,"Terminal Reality, Threewave Software",Atari,"Shooter, Adventure"
Ghostbusters: The Video Game Remastered,2019,Saber Interactive,Mad Dog Games,"Shooter, Adventure"
Giants: Citizen Kabuto,2000,Planet Moon Studios,Interplay Entertainment,"Shooter, Real Time Strategy (RTS), Role-playing (RPG), Adventure"
Gish,2004,Cryptic Sea,"Chronic Logic, Valve, Stardock","Platform, Puzzle, Sport, Adventure, Indie, Arcade"
Gizmos & Gadgets!,1997,The Learning Company,The Learning Company,Simulator
Gladiator: Sword of Vengeance,2003,Acclaim Studios Manchester,Acclaim Entertainment,"Fighting, Platform, ""Hack and slash/Beat em up"", Adventure"
Gladiators of Rome,2002,Cat Daddy Games LLC,Activision Value,"Role-playing (RPG), Sport, Strategy, Indie"
Glest,2004,Glest Team,,Real Time Strategy (RTS)
Global Conflict: Palestine,2007,Serious Games Interactive,"Gamers Gate, Manifesto Games, Macgamestore",Adventure
Global Conflicts: Latin America,2008,Serious Games Interactive,"Gamers Gate, Manifesto Games, Macgamestore",Adventure
Global Operations,2002,Barking Dog Studios,Crave Entertainment,"Adventure, Indie"
Globulation 2,2009,Globulation 2 Team,Globulation 2 Team,Real Time Strategy (RTS)
Glory of the Roman Empire,2006,Haemimont Games,"CDV Software, FX Interactive","Real Time Strategy (RTS), Strategy"
Glove on Fight,2002,Watanabe Seisakujo,Watanabe Seisakujo,"Fighting, Sport"
Glover,1998,Interactive Studios,Hasbro Interactive,"Platform, Puzzle"
Gobliiins 4,2009,Société Pollene,Kalypso Media UK Ltd,"Puzzle, Adventure"
God Eater 3,2019,Bandai Namco,Bandai Namco,Role-playing (RPG)
The Godfather II,2009,EA Redwood Shores,Electronic Arts,"Shooter, Adventure"
Godfather: The Game,2006,Electronic Arts,Electronic Arts,Shooter
Gods and Generals,2003,Anivision,Activision Value,Fighting
The Golden Compass,2007,Shiny Entertainment,Sega,Adventure
GoldenEye: Source,2010,Team Goldeneye: Source,,Shooter
Golf Resort Tycoon,2001,Cat Daddy Games,Activision,"Simulator, Sport"
Golf Resort Tycoon II,2002,Cat Daddy Games,Activision,"Simulator, Sport"
Gore: Ultimate Soldier,2002,4D Rulers,DreamCatcher Games,Shooter
Gothic,2001,Piranha Bytes,Egmont Interactive,"Shooter, Adventure, Indie, Arcade"
Gothic 3: Forsaken Gods,2008,Trine Games,JoWooD Productions,"Role-playing (RPG), Adventure"
Gothic II,2002,Piranha Bytes,JoWood,"Real Time Strategy (RTS), Strategy"
Gothic II: Night of the Raven,2003,Piranha Bytes,"JoWood, Aspyr","Role-playing (RPG), Strategy, Adventure"
GP Challenge,2002,Midas Interactive Entertainment,Midas Interactive Entertainment,"Puzzle, Strategy"
Granado Espada,2007,"IMC Games Co.,Ltd.","IMC Games Co.,Ltd.",Role-playing (RPG)
Grand Ages: Rome,2009,Haemimont Games,Kalypso Media,"Simulator, Strategy"
Grand Prix 3,2000,MicroProse,Hasbro Interactive,Racing
Grand Prix 4,2002,MicroProse,Infogrames,"Racing, Arcade"
Grand Prix Legends,1998,Papyrus Design Group,Sierra Entertainment,"Racing, Simulator, Sport"
Grand Prix Manager 2,1996,Edward Grabowski Communications Ltd,Microprose,"Racing, Simulator"
Grand Theft Auto,1997,DMA Design,"BMG Interactive, ASC Games","Shooter, Racing, Adventure"
Grand Theft Auto 2,1999,DMA Design,Rockstar Games,"Shooter, Racing"
Grand Theft Auto III,2001,DMA Design,Rockstar Games,"Shooter, Racing, Adventure"
Grand Theft Auto IV,2008,Rockstar North,Rockstar Games,"Shooter, Racing, Adventure"
Grand Theft Auto V,2015,Rockstar North,Rockstar Games,"Shooter, Racing, Sport, Adventure"
Grand Theft Auto: London 1969,1999,Rockstar Canada,ASC Games,"Shooter, Racing, Adventure"
Grand Theft Auto: London 1961,1999,Rockstar Canada,ASC Games,"Shooter, Racing, Adventure"
Grand Theft Auto: San Andreas,2004,Rockstar North,Rockstar Games,"Shooter, Racing, Adventure"
Grand Theft Auto: Vice City,2002,Rockstar North,Rockstar Games,"Shooter, Racing, Adventure"
Grandia II,2000,Game Arts,Ubisoft,"Role-playing (RPG), Adventure"
Grannys Garden,1983,4Mation,4Mation,Adventure
The Great Escape,2003,Pivotal Games,SCi Games,Adventure
Great Invasions,2005,"Philippe Thibaut, Luca Cammisa","Nobilis, Strategy First","Shooter, Arcade"
"Great Tree, The",2007,Reflexive Entertainment,Reflexive Entertainment,"Platform, Adventure"
GreedFall,2019,Spiders,Focus Home Interactive,"Role-playing (RPG), Adventure"
Green Green,2001,Groover,Groover,Platform
Green Hell,2019,Creepy Jar,,"Simulator, Strategy, Adventure, Indie"
Gregory and the Hot Air Balloon,1996,"Capitol Multimedia, Inc.",Brøderbund,Adventure
Greys Anatomy: The Video Game,2009,Longtail Studios,Ubisoft,"Simulator, Adventure"
Grid,2019,Codemasters,Codemasters,"Racing, Simulator, Arcade"
Grid 2,2013,Codemasters,Codemasters,"Strategy, Indie"
Grid Autosport,2014,Codemasters,Codemasters,"Racing, Simulator, Sport"
Grid Runner,1996,Radical Entertainment,Virgin Interactive,"Shooter, Arcade"
Gridrunner Revolution,2009,Llamasoft,Llamasoft,Indie
Gridrunner++,2002,Llamasoft,Llamasoft,Indie
The Grim Adventures of Billy & Mandy,2006,High Voltage Software,Midway Games,"Fighting, ""Hack and slash/Beat em up"""
Grim Fandango,1998,LucasArts,LucasArts,"Point-and-click, Puzzle, Adventure"
Ground Control,2000,Massive Entertainment,Sierra On-Line,"Real Time Strategy (RTS), Strategy, Adventure"
Ground Control II: Operation Exodus,2004,Massive Entertainment,Vivendi Universal,"Real Time Strategy (RTS), Strategy, Adventure"
Ground Control: Dark Conspiracy,2000,Massive Entertainment,Sierra Studios,"Strategy, Tactical"
Gruntz,1999,Monolith Productions,Monolith Productions,"Puzzle, Strategy"
GT Legends,2005,Simbin,Atari,"Racing, Simulator, Sport"
GT Racers,2004,Aqua Pacific,Oxygen Interactive,Racing
GTR – FIA GT Racing Game,2005,SimBin,Atari,"Racing, Simulator, Sport"
GTR 2 – FIA GT Racing Game,2006,Blimey! Games Ltd. (under license to SimBin),Blimey! Games Ltd.,"Racing, Simulator, Sport"
The Guild 2,2006,4HEAD Studios,JoWood Productions,Role-playing (RPG)
Guild Wars 2,2012,ArenaNet,NCsoft,Role-playing (RPG)
Guild Wars Factions,2006,ArenaNet,NCSoft,"Role-playing (RPG), Strategy, Adventure"
Guild Wars Nightfall,2006,ArenaNet,NCSoft,"Role-playing (RPG), Strategy, Adventure"
Guild Wars: Eye of the North,2007,ArenaNet,NCSoft,"Role-playing (RPG), Strategy, Adventure"
Guilty Gear Isuka,2005,Arc System Works,"Sourcenext, Bitway, Zoo Digital Publishing","Fighting, ""Hack and slash/Beat em up"""
